date,PID,session,condition,sex,age,colony,cohort,normal_weight,weight,food_consumed,depleted_A,depleted_B,depleted_high,depleted_low,status,visit_order,visit_order_noself,current_order,alternative_order,location,elevation,transition_self,visit_length,visit_latency,total_latency,travel_time,head_disp,head_speed,peck_count,peck_rate,IPI_entropy,IPI_rmssd,IPD_entropy,IPD_rmssd,travel_dist,travel_speed,cum_visit_length,cum_visits,cum_head_disp,cum_peck_count,cum_travel_dist,cum_travel_time,alt_cum_visit_length,alt_cum_visits,alt_cum_head_disp,alt_cum_peck_count,alt_cum_travel_dist,alt_cum_travel_time
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,19,10,10,9,platform A,0.0,1,3.93,22.93,514.17,20.03,706.8390426063263,7.342098315505477,1.0,0.2538071065989847,0.0,0.0,0.0,0.0,4870.626672003855,7.062828569622598,194.43,10,20918.909962262507,56.0,11664.025865530526,47.63,220.89,9,26618.744374120488,54.0,13673.541170238665,55.15
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,20,11,10,10,platform B,0.0,0,13.13,23.53,537.7,19.6,1223.7772096420954,4.778456105989591,2.0,0.15220700152207,0.0,0.0,0.0,0.0,3258.537821566976,6.694607861384538,234.02,10,27842.521583762584,56.0,16932.07899180564,74.75,194.43,10,20918.909962262507,56.0,11664.025865530526,47.63
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,21,11,11,10,platform B,0.0,1,4.58,25.34,563.04,12.21,699.4216471841244,6.911144940961911,0.0,0.0,0.0,0.0,0.0,0.0,1415.5502668082104,2.799483059955792,238.6,11,28541.94323094671,56.0,18347.62925861385,86.96000000000001,194.43,10,20918.909962262507,56.0,11664.025865530526,47.63
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,22,12,11,11,platform A,0.0,0,25.57,14.28,577.32,9.7,1443.9846431274602,3.87601091408744,2.0,0.0781860828772478,0.0,0.0,0.0,0.0,1588.4528254053653,3.0494626824193607,220.0,11,22362.894605389967,58.0,13252.478690935892,57.33,238.6,11,28541.94323094671,56.0,18347.62925861385,86.96000000000001
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,0,22,12,11,11,platform A,0.0,0,14.94546774981994,14.28,577.32,9.7,880.9789700648968,4.039935763178694,1.0,0.0668449197860962,0.0,0.0,0.0,0.0,1588.4528254053653,3.0494626824193607,101.23030160633546,4,13300.210121532082,36.0,4662.880757742863,20.11,238.6,11,28541.94323094671,56.0,18347.62925861385,86.96000000000001
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,23,12,12,11,platform A,0.0,1,731.12,58.34,635.66,32.77,11993.481643530637,1.3099585908238356,20.0,0.0273549163623432,0.0,48.342794325089386,0.7659373365785205,69.08992063154452,1184.224189843848,1.6060826055757271,951.12,12,34356.3762489206,78.0,14436.70288077974,90.1,238.6,11,28541.94323094671,56.0,18347.62925861385,86.96000000000001
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,0,23,12,12,11,platform A,0.0,1,254.9270791123147,58.34,635.66,32.77,5107.047196251087,1.4461727576225456,9.0,0.0353024240997881,0.0,53.86496519074341,0.9743147528693494,91.73245081426666,1184.224189843848,1.6060826055757271,356.15738071865013,5,25293.691765062715,56.0,5847.104947586711,52.88,238.6,11,28541.94323094671,56.0,18347.62925861385,86.96000000000001
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,1,1,1,0,platform B,0.0,0,79.21,8.64,8.64,8.64,13102.980840254368,18.78020710378257,28.0,0.3534460994698308,1.0247727743980646,3.468992275489729,1.206124156028269,147.66638937648946,3401.6551207453235,42.99236032170343,79.21,1,13102.980840254368,28.0,3401.6551207453235,8.64,0.0,0,0.0,0.0,0.0,0.0
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,0,1,1,1,0,platform B,0.0,0,44.25024263103795,8.64,8.64,8.64,7668.202411134282,20.38135502955585,15.0,0.3389064618165386,0.9556998911125344,3.508952835248716,0.992281974852574,144.14053878839348,3401.6551207453235,42.99236032170343,211.9939774918824,15,64673.10736093325,144.0,25134.64960385128,103.1,0.0,0,0.0,0.0,0.0,0.0
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,2,1,2,0,platform B,0.0,1,3.25,80.62,89.26,1.41,580.8527157284669,15.307820022781575,1.0,0.3067484662576687,0.0,0.0,0.0,0.0,33.30250959136192,4.7021914499430215,82.46,2,13683.833555982834,29.0,3434.9576303366853,10.05,0.0,0,0.0,0.0,0.0,0.0
